256	1.115377630859371	0.007015
512	1.1440916838867166	0.006939
1024	1.1641911220703127	0.007141
2048	1.1649108200195712	0.006974
4096	1.1692546850586183	0.006896
8192	1.1130954997070341	0.007241
16384	1.127677119042958	0.007458
32768	1.1127355211697951	0.007172
65536	1.116105836623755	0.008209
131072	1.1328098145509078	0.008513
262144	1.106476967249134	0.008674
524288	1.106597428773563	0.008994
1048576	1.0874628241856812	0.008592
2097152	1.0678273297548297	0.008648
4194304	1.0688839021921184	0.008684
8388608	1.0710645807982324	0.008566
16777216	1.1294297037720582	0.008564	